specimen_id,gene,log2cpm
S-P01-NL,TYK2,5.403
S-P01-NL,JAK1,6.509
S-P01-NL,STAT3,2.712
S-P01-NL,IL17A,3.429
S-P01-NL,IL23R,6.466
S-P01-NL,KRT16,7.142
S-P01-NL,S100A8,5.258
S-P01-NL,GAPDH,7.348
S-P01-NL,ACTB,3.517
S-P01-NL,IFNG,7.699
S-P01-L,TYK2,6.776
S-P01-L,JAK1,8.168
S-P01-L,STAT3,2.705
S-P01-L,IL17A,2.711
S-P01-L,IL23R,4.215
S-P01-L,KRT16,5.037
S-P01-L,S100A8,5.41
S-P01-L,GAPDH,5.374
S-P01-L,ACTB,2.326
S-P01-L,IFNG,5.39
S-P02-NL,TYK2,4.39
S-P02-NL,JAK1,6.246
S-P02-NL,STAT3,4.599
S-P02-NL,IL17A,3.117
S-P02-NL,IL23R,8.007
S-P02-NL,KRT16,6.521
S-P02-NL,S100A8,7.834
S-P02-NL,GAPDH,7.705
S-P02-NL,ACTB,8.276
S-P02-NL,IFNG,3.28
S-P02-L,TYK2,5.553
S-P02-L,JAK1,3.856
S-P02-L,STAT3,8.921
S-P02-L,IL17A,7.627
S-P02-L,IL23R,2.59
S-P02-L,KRT16,4.024
S-P02-L,S100A8,8.281
S-P02-L,GAPDH,5.717
S-P02-L,ACTB,5.458
S-P02-L,IFNG,8.434
S-P03-NL,TYK2,5.072
S-P03-NL,JAK1,4.809
S-P03-NL,STAT3,8.828
S-P03-NL,IL17A,8.751
S-P03-NL,IL23R,8.752
S-P03-NL,KRT16,3.69
S-P03-NL,S100A8,4.746
S-P03-NL,GAPDH,8.807
S-P03-NL,ACTB,3.518
S-P03-NL,IFNG,4.972
S-P03-L,TYK2,6.136
S-P03-L,JAK1,8.7
S-P03-L,STAT3,3.208
S-P03-L,IL17A,6.972
S-P03-L,IL23R,3.675
S-P03-L,KRT16,8.23
S-P03-L,S100A8,4.712
S-P03-L,GAPDH,3.644
S-P03-L,ACTB,8.833
S-P03-L,IFNG,6.943
S-P04-NL,TYK2,4.15
S-P04-NL,JAK1,7.087
S-P04-NL,STAT3,7.201
S-P04-NL,IL17A,7.768
S-P04-NL,IL23R,8.831
S-P04-NL,KRT16,8.891
S-P04-NL,S100A8,3.561
S-P04-NL,GAPDH,8.737
S-P04-NL,ACTB,6.76
S-P04-NL,IFNG,3.77
S-P04-L,TYK2,4.979
S-P04-L,JAK1,5.988
S-P04-L,STAT3,4.76
S-P04-L,IL17A,4.524
S-P04-L,IL23R,7.466
S-P04-L,KRT16,3.895
S-P04-L,S100A8,7.582
S-P04-L,GAPDH,5.953
S-P04-L,ACTB,5.798
S-P04-L,IFNG,8.923
S-P05-NL,TYK2,5.327
S-P05-NL,JAK1,2.883
S-P05-NL,STAT3,3.204
S-P05-NL,IL17A,8.844
S-P05-NL,IL23R,2.998
S-P05-NL,KRT16,6.716
S-P05-NL,S100A8,5.372
S-P05-NL,GAPDH,4.604
S-P05-NL,ACTB,3.549
S-P05-NL,IFNG,3.635
S-P05-L,TYK2,6.564
S-P05-L,JAK1,8.785
S-P05-L,STAT3,7.177
S-P05-L,IL17A,7.369
S-P05-L,IL23R,4.114
S-P05-L,KRT16,4.188
S-P05-L,S100A8,5.921
S-P05-L,GAPDH,8.04
S-P05-L,ACTB,2.621
S-P05-L,IFNG,8.172
S-P06-NL,TYK2,4.554
S-P06-NL,JAK1,4.497
S-P06-NL,STAT3,3.069
S-P06-NL,IL17A,5.292
S-P06-NL,IL23R,5.813
S-P06-NL,KRT16,6.66
S-P06-NL,S100A8,2.307
S-P06-NL,GAPDH,4.312
S-P06-NL,ACTB,2.925
S-P06-NL,IFNG,5.294
S-P06-L,TYK2,5.642
S-P06-L,JAK1,4.975
S-P06-L,STAT3,5.896
S-P06-L,IL17A,7.105
S-P06-L,IL23R,4.601
S-P06-L,KRT16,7.766
S-P06-L,S100A8,6.49
S-P06-L,GAPDH,8.302
S-P06-L,ACTB,5.541
S-P06-L,IFNG,7.856
S-P07-NL,TYK2,5.798
S-P07-NL,JAK1,5.034
S-P07-NL,STAT3,3.983
S-P07-NL,IL17A,5.728
S-P07-NL,IL23R,5.742
S-P07-NL,KRT16,7.62
S-P07-NL,S100A8,6.066
S-P07-NL,GAPDH,7.232
S-P07-NL,ACTB,4.018
S-P07-NL,IFNG,7.807
S-P07-L,TYK2,7.1
S-P07-L,JAK1,7.229
S-P07-L,STAT3,4.754
S-P07-L,IL17A,6.036
S-P07-L,IL23R,7.737
S-P07-L,KRT16,4.901
S-P07-L,S100A8,3.957
S-P07-L,GAPDH,6.011
S-P07-L,ACTB,2.025
S-P07-L,IFNG,2.006
S-P08-NL,TYK2,5.191
S-P08-NL,JAK1,6.132
S-P08-NL,STAT3,8.322
S-P08-NL,IL17A,3.029
S-P08-NL,IL23R,6.226
S-P08-NL,KRT16,5.236
S-P08-NL,S100A8,4.085
S-P08-NL,GAPDH,6.799
S-P08-NL,ACTB,2.492
S-P08-NL,IFNG,7.405
S-P08-L,TYK2,6.168
S-P08-L,JAK1,4.477
S-P08-L,STAT3,4.913
S-P08-L,IL17A,6.417
S-P08-L,IL23R,2.734
S-P08-L,KRT16,5.147
S-P08-L,S100A8,8.812
S-P08-L,GAPDH,3.057
S-P08-L,ACTB,2.802
S-P08-L,IFNG,4.223
S-P09-NL,TYK2,5.394
S-P09-NL,JAK1,8.511
S-P09-NL,STAT3,4.393
S-P09-NL,IL17A,6.535
S-P09-NL,IL23R,7.922
S-P09-NL,KRT16,5.079
S-P09-NL,S100A8,8.569
S-P09-NL,GAPDH,3.427
S-P09-NL,ACTB,8.175
S-P09-NL,IFNG,5.003
S-P09-L,TYK2,6.567
S-P09-L,JAK1,7.397
S-P09-L,STAT3,5.238
S-P09-L,IL17A,7.138
S-P09-L,IL23R,7.885
S-P09-L,KRT16,6.235
S-P09-L,S100A8,2.531
S-P09-L,GAPDH,7.925
S-P09-L,ACTB,7.598
S-P09-L,IFNG,2.908
S-P10-NL,TYK2,4.505
S-P10-NL,JAK1,8.654
S-P10-NL,STAT3,3.556
S-P10-NL,IL17A,3.993
S-P10-NL,IL23R,2.197
S-P10-NL,KRT16,4.964
S-P10-NL,S100A8,3.401
S-P10-NL,GAPDH,8.729
S-P10-NL,ACTB,6.362
S-P10-NL,IFNG,7.93
S-P10-L,TYK2,5.727
S-P10-L,JAK1,4.37
S-P10-L,STAT3,8.347
S-P10-L,IL17A,6.45
S-P10-L,IL23R,7.405
S-P10-L,KRT16,3.22
S-P10-L,S100A8,7.584
S-P10-L,GAPDH,7.607
S-P10-L,ACTB,4.997
S-P10-L,IFNG,7.382
S-P11-NL,TYK2,4.666
S-P11-NL,JAK1,6.93
S-P11-NL,STAT3,7.999
S-P11-NL,IL17A,7.514
S-P11-NL,IL23R,4.085
S-P11-NL,KRT16,4.965
S-P11-NL,S100A8,7.82
S-P11-NL,GAPDH,8.392
S-P11-NL,ACTB,3.909
S-P11-NL,IFNG,2.116
S-P11-L,TYK2,5.772
