gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
TYK2,910.0,1.4,0.269,2.0000000000000003e-06,2e-05
JAK1,1516.8,0.324,0.168,0.08257,0.8257
STAT3,1072.1,-0.457,0.208,0.011949999999999999,0.1195
IL17A,1089.0,-0.196,0.24,0.024149999999999998,0.2415
IL23R,1614.1,0.485,0.27,0.02144,0.2144
KRT16,1803.8,0.562,0.195,0.014610000000000001,0.1461
S100A8,2818.1,-0.727,0.101,0.00746,0.0746
GAPDH,2549.7,0.251,0.194,0.07607,0.7607
ACTB,1753.2,-0.253,0.248,0.00907,0.0907
IFNG,1716.6,-0.25,0.174,0.047060000000000005,0.4706
