animal_id,group,sex,tissue,day
M01,IMQ,F,"dorsal skin, full thickness",6
M02,IMQ,F,"dorsal skin, full thickness",6
M03,IMQ,F,"dorsal skin, full thickness",6
M04,IMQ,F,"dorsal skin, full thickness",6
M05,IMQ,F,"dorsal skin, full thickness",6
M06,IMQ,F,"dorsal skin, full thickness",6
M07,vehicle,F,"dorsal skin, full thickness",6
M08,vehicle,F,"dorsal skin, full thickness",6
M09,vehicle,F,"dorsal skin, full thickness",6
M10,vehicle,F,"dorsal skin, full thickness",6
M11,vehicle,F,"dorsal skin, full thickness",6
M12,vehicle,F,"dorsal skin, full thickness",6
